year_end,dt,gst,fed,customs,gdp,gdp_nonagr,lsm,imports,dutiable_imports,exrate,inflation,consumption,covid,regime,step_2024,dummy_2024,dummy_2025,log_dt,log_gst,log_fed,log_customs,log_gdp,log_gdp_nonagr,log_lsm,log_imports,log_dutiable_imports,log_consumption,log_exrate
2016,1217474.0,1302371,188055.0,404572.0,32725049.0,25418092.0,2841709.0,4658749,3467318,102.654916,2.5521349865000005,27700000000000,0,1,0,0,0,14.012288778474716,14.079697007397742,12.144489752218234,12.910584997168815,17.30365136708532,17.05097176189986,14.859916189715484,15.35425751512573,15.058891942410773,30.95245352912184,4.631373033209589
2017,1344226.0,1328965,197911.0,496772.0,35552819.0,27744281.0,3083146.0,5539721,4067138,104.66376741666666,3.759061336083333,29900000000000,0,1,0,0,0,14.11132894069071,14.099911001757924,12.19557271367404,13.115886447304547,17.38653000783482,17.138540286827148,14.941461062217975,15.527454696444478,15.218450115958644,31.02887959632519,4.650752997015732
2018,1536583.0,1485306,213493.0,608373.0,39189810.0,30704732.0,3499175.0,6694897,4662323,105.32505041666667,5.325,33000000000000,0,1,0,0,0,14.245071677967774,14.211131369597426,12.271359324228069,13.318543459684287,17.483927321988507,17.239927337487387,15.068037784388949,15.716856152373682,15.355024379747128,31.127528677395027,4.657051286542076
2019,1445508.0,1459213,238186.0,685575.0,43798401.0,34741824.0,4266145.0,7443253,5054709,121.43859825,5.3066666666666675,36600000000000,1,1,0,0,0,14.183971374840379,14.193407807253747,12.38080716003669,13.43801318119013,17.59510786783097,17.36345482171672,15.266221167121685,15.82281854243437,15.4358308420141,31.23106935633587,4.799408770843548
2020,1523445.0,1596877,250474.0,626612.0,47521525.0,37131892.0,4026165.0,7029819,4455140,149.8181445,10.162117813999998,41400000000000,1,1,0,0,0,14.236484775673208,14.283560404819607,12.431110401705082,13.348082808290359,17.676693324254575,17.429986780955232,15.208324867948626,15.765671516655962,15.309569043758039,31.354301996759816,5.009422188581209
2021,1731254.0,1988308,277046.0,748390.0,55488010.0,42745485.0,4914827.0,8982441,5340082,161.61660641666668,11.32702064975,44400000000000,0,1,0,0,0,14.364356559384431,14.502794583775774,12.531938836364162,13.525679511454213,17.831677519341483,17.5707741337344,15.407767112571596,16.010782229620936,15.490751566623722,31.424260585366728,5.085226903286666
2022,2284916.0,2532228,320658.0,1010694.0,66657868.0,51775256.0,7040683.0,14273394,6421248,162.62523241666665,9.486483382916665,52700000000000,0,1,0,0,0,14.641839820146757,14.744610105585545,12.67813041358747,13.826147781565465,18.015083647134073,17.762422909704966,15.76721574047383,16.473907802798973,15.67512304929773,31.595636571475865,5.091448365988707
2023,3270820.0,2591434,369885.0,931727.0,83650830.0,64054198.0,8536018.0,13472988,5265423,204.51617487500002,19.723698462500003,64300000000000,0,1,0,0,0,15.00055127596326,14.76772194841184,12.820947425497906,13.744795132303803,18.24216190764316,17.975240126704087,15.95980518067753,16.41619735006736,15.476672042203319,31.794580747172123,5.320647067098308
2024,4530731.0,3086832,577451.0,1104066.0,105379298.0,80403649.0,10138638.0,15482120,8296831,279.9811290833333,30.925,78200000000000,0,1,1,1,0,15.326393853094118,14.942655880234671,13.266378869293401,13.914510286640965,18.473076761117607,18.20257011869144,16.13186422757901,16.55519636765333,15.931384192630972,31.990290763479813,5.634722204767076
2025,5791667.0,3901372,766641.0,1284608.0,113934970.0,87739134.0,10445059.0,16306753,8159961,278.4844805,13.133333333333335,98500000000000,0,1,1,0,1,15.571930718300976,15.176838844106364,13.54977391340999,14.06596417140593,18.55113840500028,18.28987858358297,16.16163960159256,16.607089874459255,15.914749947517103,32.221077664106595,5.629362332500443
